source,target,type
1,2,Directed
2,1,Directed
1,2,Directed
2,1,Directed
2,3,Directed
3,2,Directed
2,3,Directed
1,3,Directed
3,1,Directed
3,2,Directed
3,4,Directed
4,3,Directed
2,4,Directed
4,2,Directed
2,4,Directed
4,2,Directed
1,5,Directed
5,1,Directed
1,6,Directed
6,1,Directed
7,5,Directed
5,7,Directed
6,7,Directed
7,6,Directed
7,6,Directed
6,7,Directed
5,7,Directed
7,5,Directed
5,7,Directed
7,5,Directed
7,5,Directed
5,7,Directed
1,9,Directed
9,1,Directed
8,9,Directed
9,8,Directed
9,8,Directed
10,8,Directed
8,10,Directed
10,8,Directed
8,10,Directed
10,8,Directed
8,10,Directed
10,8,Directed
8,10,Directed
10,9,Directed
9,10,Directed
8,9,Directed
8,9,Directed
9,8,Directed
12,11,Directed
11,12,Directed
12,11,Directed
13,11,Directed
11,13,Directed
13,9,Directed
9,13,Directed
13,12,Directed
12,13,Directed
13,12,Directed
12,13,Directed
13,11,Directed
11,13,Directed